cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8807,394,Uganda,54,2,3,NULL,NULL,3,South Western,2,9,NULL,12,1,1,NULL,1,1,1,1,6,5,5,5,5,6,5,7,2,7,6,6,7,7,6,7,7,6,7,7,3,6,5,1,1,1
hcw_8808,395,Uganda,36,1,1,NULL,NULL,2,Central 1,1,7,Laboratory Technician,10,1,2,NULL,2,1,2,2,1,1,4,5,4,7,5,6,1,7,6,4,5,5,4,7,4,4,4,4,4,7,4,4,4,4
hcw_8809,396,Uganda,36,1,1,NULL,NULL,2,Central 1,1,7,Laboratory Technician,10,1,2,NULL,2,1,2,2,1,1,4,5,4,7,5,6,1,7,6,4,5,5,4,7,4,4,4,4,4,7,4,4,4,4
hcw_8810,397,Uganda,24,2,1,NULL,NULL,6,South Western,2,10,NULL,12,1,1,NULL,1,1,1,1,7,7,7,6,6,7,4,4,4,7,5,1,7,6,4,6,5,4,4,5,2,5,6,2,3,3
hcw_8811,398,Uganda,27,2,1,NULL,NULL,1,Central 1,1,6,NULL,12,1,1,NULL,1,1,1,1,6,7,5,6,7,7,6,7,7,6,5,7,6,7,7,7,6,6,7,7,4,7,7,2,3,1
hcw_8812,399,Uganda,34,1,3,NULL,NULL,3,South Western,2,7,Surgeon,1,1,1,NULL,2,2,2,2,5,2,2,6,6,6,5,6,3,6,5,5,1,1,6,6,6,5,6,6,6,6,2,4,4,4
hcw_8813,400,Uganda,35,2,1,NULL,NULL,6,Mid Western,2,6,NULL,12,NULL,6,NULL,2,1,1,2,3,3,5,5,6,6,3,6,4,6,6,3,6,6,6,7,6,4,6,6,5,5,6,6,5,2
hcw_8814,401,Uganda,27,1,8,NULL,NULL,2,Kampala,1,10,NULL,12,1,6,NULL,2,2,2,2,6,2,6,6,6,7,6,6,6,7,6,NULL,6,6,6,7,6,6,7,7,6,6,6,1,1,1
hcw_8815,402,Uganda,24,1,2,NULL,NULL,1,Central 1,1,7,Laboratory Technician,10,NULL,1,NULL,2,2,1,2,5,5,6,7,7,7,6,7,5,7,6,6,5,6,6,7,7,5,5,5,2,2,4,2,2,2
hcw_8816,403,Uganda,24,1,1,NULL,NULL,6,Kampala,2,7,Laboratory technologist,10,NULL,1,NULL,2,2,1,2,6,6,7,6,6,7,7,7,1,7,7,7,2,7,7,7,7,7,7,7,2,7,7,1,2,2
hcw_8817,404,Uganda,24,1,2,NULL,NULL,1,Central 1,1,7,Laboratory Technician,10,NULL,1,NULL,2,2,1,2,5,5,6,7,7,7,6,7,5,7,6,6,5,6,6,7,7,5,5,5,2,2,4,2,2,2
hcw_8818,405,Uganda,30,1,8,NULL,NULL,6,Central 1,1,7,Clinical officer,1,NULL,1,NULL,2,2,2,2,5,4,6,6,4,4,4,7,2,7,7,7,2,2,5,6,5,3,6,6,6,6,5,5,5,5
hcw_8819,406,Uganda,38,2,3,NULL,NULL,3,Mid Western,2,7,None,1,1,1,NULL,1,1,1,1,5,6,5,6,7,5,4,7,4,7,6,6,7,6,6,7,7,7,7,7,3,7,5,3,1,1
hcw_8820,407,Uganda,38,2,3,NULL,NULL,3,Mid Western,2,7,None,1,1,1,NULL,1,1,1,1,5,6,5,6,7,5,4,7,4,7,6,6,7,6,6,7,7,7,7,7,3,7,5,3,1,1
hcw_8821,408,Uganda,30,1,1,NULL,NULL,2,Central 1,2,6,NULL,1,1,1,NULL,2,1,1,2,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,2,7,7,1,1,1
hcw_8822,409,Uganda,25,1,8,NULL,NULL,1,Central 1,2,5,NULL,8,1,1,NULL,2,2,3,3,3,2,6,6,7,6,6,7,2,7,6,2,2,5,7,7,6,5,6,6,2,2,2,5,2,2
